*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ScrewShield
*Date=15:21:59
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
142;;THT;19.5248;-6.94569;-90;Bottom;J4
143;;;63.1106;-14.2101;-90;Bottom;TXT2
144;;;55.2118;-30.8217;0;Bottom;Via53
145;;;29.7942;-5.0852;0;Bottom;Copper Fill18
146;;;57.7518;-53.6817;0;Bottom;Via71
147;;;60.2918;-43.5217;0;Bottom;Via81
148;;;52.6718;-56.2217;0;Bottom;Via46
149;;;62.8318;-35.9017;0;Bottom;Via108
150;;;29.8118;-53.6815;0;Bottom;Via167
151;;;24.7318;-53.6815;0;Bottom;Via143
152;;;57.7518;-33.3617;0;Bottom;Via64
153;;;88.3187;-75.9837;-90;Bottom;TXT2
154;;;57.7518;-51.1417;0;Bottom;Via62
155;;;48.2854;-44.6584;0;Bottom;Copper Fill73
156;;;19.6518;-56.2219;0;Bottom;Via118
157;;THT;59.0218;-28.2817;-90;Bottom; 
158;;;45.0518;-30.8217;0;Bottom;Via16
159;;;19.6518;-51.1417;0;Bottom;Via110
160;;;50.1318;-53.6817;0;Bottom;Via31
161;;;19.6469;-82.7965;0;Bottom;Copper Fill14
162;;;93.7537;-75.8313;-90;Bottom;TXT2
163;;;92.8878;-48.7859;0;Bottom;Copper Fill32
164;;;50.1318;-51.1417;0;Bottom;Via35
165;;;35.0786;-74.9183;-90;Bottom;TXT2
166;;;19.6518;-48.6017;0;Bottom;Via114
167;;;57.7518;-56.2219;0;Bottom;Via70
168;;;24.003;-60.0762;0;Bottom;Copper Fill65
169;;;60.2918;-33.3617;0;Bottom;Via76
170;;;25.9969;-22.8525;0;Bottom;Copper Fill88
171;;;57.7518;-30.8217;0;Bottom;Via65
172;;;45.0518;-56.2218;0;Bottom;Via24
173;;;50.1318;-56.2218;0;Bottom;Via36
174;;;57.7518;-35.9017;0;Bottom;Via72
175;;;37.4318;-58.7619;0;Bottom;Via200
176;;;55.2118;-46.0617;0;Bottom;Via49
177;;;29.8118;-46.0615;0;Bottom;Via157
178;;;36.703;-60.0762;0;Bottom;Copper Fill70
179;;;21.463;-60.0762;0;Bottom;Copper Fill64
180;;;92.0115;-63.1369;0;Bottom;Copper Fill46
181;;;93.2942;-32.568;0;Bottom;Copper Fill34
182;;;45.0518;-43.5217;0;Bottom;Via22
183;;;59.0296;-24.2876;0;Bottom;Copper Fill81
184;;;47.9099;-14.3584;-90;Bottom;TXT2
185;;;24.7318;-40.9815;0;Bottom;Via139
186;;;37.4318;-30.8217;0;Bottom;Via197
187;;;50.1318;-30.8217;0;Bottom;Via28
188;;;22.1918;-35.9017;0;Bottom;Via132
189;;;92.8878;-53.8532;0;Bottom;Copper Fill40
190;;;32.3518;-46.0617;0;Bottom;Via169
191;;;60.2918;-30.8217;0;Bottom;Via77
192;;;45.0518;-46.0617;0;Bottom;Via15
193;;;32.3518;-48.6017;0;Bottom;Via174
194;;;92.0115;-54.7803;0;Bottom;Copper Fill37
195;;;64.1096;-24.2876;0;Bottom;Copper Fill83
196;;;29.8118;-38.4415;0;Bottom;Via159
197;;;47.5918;-43.5217;0;Bottom;Via9
198;;;41.783;-60.0762;0;Bottom;Copper Fill72
199;;;27.2718;-51.1415;0;Bottom;Via146
200;;;27.2718;-30.8215;0;Bottom;Via149
201;;;52.6718;-33.3615;0;Bottom;Via40
202;;;32.3518;-58.7619;0;Bottom;Via176
203;;;92.0115;-64.9403;0;Bottom;Copper Fill45
204;;;24.7318;-51.1415;0;Bottom;Via134
205;;;55.2118;-53.6817;0;Bottom;Via59
206;;;47.5918;-40.9816;0;Bottom;Via7
207;;;27.2718;-56.2217;0;Bottom;Via154
208;;;91.0844;-64.0132;0;Bottom;Copper Fill47
209;;;42.5118;-43.5217;0;Bottom;Via225
210;;;20.1038;-15.4801;-90;Bottom;TXT2
211;;;29.8118;-51.1415;0;Bottom;Via158
212;;;27.2718;-53.6815;0;Bottom;Via155
213;;;52.6718;-40.9815;0;Bottom;Via43
214;;;48.8696;-65.3086;0;Bottom;Copper Fill57
215;;;91.0844;-48.7859;0;Bottom;Copper Fill31
216;;;37.4318;-33.3617;0;Bottom;Via196
217;;THT;55.0848;-6.94569;-90;Bottom;J3
218;;;81.8537;-52.7825;-90;Bottom;TXT1
219;;;11.5558;-40.6462;-90;Bottom;IMG1
220;;;29.8118;-40.9815;0;Bottom;Via163
221;;;94.1197;-33.3935;0;Bottom;Copper Fill36
222;;;55.2118;-51.1417;0;Bottom;Via50
223;;;34.8918;-35.9017;0;Bottom;Via192
224;;;52.6718;-35.9015;0;Bottom;Via48
225;;;24.7318;-58.7617;0;Bottom;Via140
226;;;50.1318;-40.9817;0;Bottom;Via30
227;;;39.9718;-33.3617;0;Bottom;Via208
228;;;31.0896;-24.2876;0;Bottom;Copper Fill74
229;;cap-pth-5mm;75.4918;-20.6617;0;Bottom;C1
230;;;45.0518;-53.6817;0;Bottom;Via19
231;;;92.0115;-52.9769;0;Bottom;Copper Fill38
232;;;34.8918;-33.3617;0;Bottom;Via184
233;;;24.7318;-46.0615;0;Bottom;Via133
234;;;45.0518;-35.9017;0;Bottom;Via17
235;;;19.6518;-46.0617;0;Bottom;Via109
236;;tactile-pth;21.9419;-25.0737;0;Bottom;RESET
237;;;24.2697;-22.8525;0;Bottom;Copper Fill87
238;;;52.6718;-38.4415;0;Bottom;Via39
